,EN/TL,Note
1,"For Cafe:

Attention all cafe owners! 📣 

Are you tired of managing multiple systems and struggling to grow your business? Look no further than Storehub!

💡 Our all-in-one POS system comes packed with over 30 features and is trusted by over 15,000 businesses.

🤝 Take your business to the next level with Storehub. 💪

Sign up now for a free demo and see the difference for yourself! 🚀 

For Restaurants:
Attention all restaurant owners! 📣 

Are you tired of managing multiple systems and struggling to grow your business? Look no further than Storehub!

💡 Our all-in-one POS system comes packed with over 30 features and is trusted by over 15,000 businesses.

🤝 Take your business to the next level with Storehub. 💪

Sign up now for a free demo and see the difference for yourself! 🚀 

Additional copy for both:
The Preferred Choice of Metro Manila's restaurants, bars, and cafes - StoreHub POS System. 💪
Ang pinaka-recommended na POS for Metro Manila's restaurants, bars, and cafes - StoreHub POS System. 💪","PH Feature List Ad [S2, S3]"
2,"Copy #1: If you’re running a milk tea shop, then StoreHub POS is the best partner for your business. :sunglasses: :white_check_mark:

Now you can make sure your entire operations runs smoothly. You can make your staff’s lives easier and keeps your customers happy too. Plus, you can now start a customer loyalty program! :muscle:

Sign up for a free demo of the StoreHub POS today.

~~

Copy #2: Don't run a milk tea shop without a POS to manage your sales and operations. :white_check_mark:

Pati trabaho ng staff mo mas madali na, and your customers get better service too. Plus, you can now start a customer loyalty program! :muscle:

Sign up for a free demo of the StoreHub POS today.

~~ 

Headline 1: #1 BIR Accredited POS
Headline 2: Top-Rated POS in the Philippines

Description: Trusted by 1500+ Local Businesses","PH Static Ads (for Milk Tea Shops) [S2,S3]"
3,"Copy #1: If you’re running a bar, then StoreHub POS is the best partner for your business. :white_check_mark:

Now you can make sure your entire operations runs smoothly and important information about sales and inventory gets recorded. :muscle:

You can make your staff’s lives easier and keeps your customers happy too. :sunglasses:

Sign up for a free demo of the StoreHub POS today.

~~

Copy #2: Owner ka ba ng bar or restobar? Then alam mong marami talagang stress sa operations. :weary:

But with StoreHub POS, less hassle na. Now you can make sure your entire operations runs smoothly and important information about sales and inventory gets recorded. :muscle:

Pati trabaho ng staff mo mas madali na, and your customers get better service too. :sunglasses:

Sign up for a free demo of the StoreHub POS today.

~~

Headline 1: #1 BIR Accredited POS
Headline 2: Top-Rated POS in the Philippines

Description: Trusted by 1500+ Local Businesses","PH Static Ads (Built for Bars) [S2, S3]"
4,"Copy #1: Looking for the most reliable POS system in the Philippines? :face_with_monocle:

With StoreHub, everything about running your business and keeping your customers happy is hassle-free. :sunglasses:

Sign up for a free demo of StoreHub POS today.

Copy #2: Frustrated ka na ba sa cash register or POS system na parati na lang nagkaka-problema? :triumph:

Choose StoreHub, a BIR-accredited POS na trusted ng 1,500+ local businesses.

Solid na ang hardware and software system, responsive pa ang local support team. :clap:

Sign up for a free demo of StoreHub POS today.

Copy #3: Operational issues are costly and a waste of time. :weary: That’s why 1,500 businesses all over the country trust StoreHub. It’s a BIR accredited POS system that just works.

Sign up for a free demo of StoreHub POS today.

Headline 1: #1 BIR Accredited POS
Headline 2: The POS with Everything you need

Description: Trusted by 1500+ Local Businesses","PH Static Testimonial Ads [S2, S3]"
5,"Copy #1:

You'll lose customers with slow service and wrong orders. :smiling_face_with_tear:

Make sure your restaurant runs quickly with StoreHub POS. Key in orders easily and send them straight to the kitchen.

No more errors from using pen and paper. :x:

Your customers get the best experience, and you get more sales too! :moneybag:

Get a free demo of the StoreHub POS today.
~~ 

Copy #2:
Wag nang mapabagal-bagal. Pag slow motion ang restaurant service mo, you'll lose your customers. :smiling_face_with_tear:

With StoreHub POS, madali nang magtake ng orders and send them to your kitchens.

Wala nang mga wrong orders. :x:

Your customers get the best experience, and you get more sales too! :moneybag:

Get a free demo of the StoreHub POS today.

~~

Copy #3:
Nakakahiya sa customers pag mabagal ang service ng restaurant. And mali-mali pa ang orders. :triumph:

Don't get stuck in slow motion. With StoreHub POS, madali nang magtake ng orders and send them to your kitchens.

Wala nang mga wrong orders. :x:

Your customers get the best experience, and you get more sales too! :moneybag:

Get a free demo of the StoreHub POS today.

Headline: 
#1 Speed up your restaurant operations with StoreHub 
#2 StoreHub is a BIR accredited POS
#3 All-in-1 POS for restaurants",White BG ad copy
6,"With all the POS systems out there, why do our customers (@wagyustudio, @tenderlovingcakesph, @coffeeacademicsph.cafe) choose StoreHub? Here are their answers 😍

💪 A reliable product with top-notch service
🤳 Managing stores remotely with real-time info
📈 Growing sales with data-driven decisions

Want to level up your business too? Get started by booking a FREE demo today. ⬇️",S1 Why Our Customers Love Us Copy
7,"Caption 1: Bakit ka pa bibili ng ibang POS brand when StoreHub has it all? 

Hindi lang siya POS. Pati sales, inventory, and marketing meron din. Parang secret weapon na ng business mo! 

Sign up for a demo of StoreHub today and start leveling up your business!


Caption 2: Say goodbye to frustration and say hello to MORE SALES.

With StoreHub POS system and Back Office, lahat magagawa mo na. Sales, inventory, analytics, marketing - all in one place.

Sign up for a demo of StoreHub today!



Caption 3: Why choose another brand when StoreHub POS has everything you need. 

Think of StoreHub as your business' secret weapon. You can now manage sales, inventory, analytics, and marketing all in one place.

Sign up for a demo of StoreHub today and start leveling up your business!


Headline 1: StoreHub is a BIR Accredited POS
Headline 2: Grow Sales with an All-in-1 POS

Description 1: Trusted by 15,000+ Businesses
Description 2: Best for F&B and Retail ",Comparison Table with Other Brands PH
8,"Caption 1

📣 Want your customers to keep coming back to your restaurants? We have the solution for you. 📣

Taking orders, sales reporting, counting inventory… do you still do these manually at your store and run into a ton of issues? 😵

Make your life as a business owner stress-free with StoreHub’s BIR Accredited POS.

You can now say goodbye to wrong orders, manual errors, and inaccurate sales and inventory reports. 💪

See the difference with a StoreHub POS. Sign up for a FREE demo today.

Caption 2

📣 Want your customers to keep coming back to your restaurants? We have the solution for you. 📣

Take orders, count inventory, and generate sales reports all automatically from  ₱63/day 😵

Avoid human errors and make your life as a business owner stress-free with StoreHub’s BIR Accredited POS.

You can now say goodbye to wrong orders, manual errors, and inaccurate sales and inventory reports. 💪

See the difference with a StoreHub POS. Sign up for a FREE demo today.

Headline 1

#1 BIR Accredited POS

Headline 2

Get our BIR Accredited POS for just ₱63/day

Headline 3

Top-Rated POS in the Philippines

Description

Trusted by 15,000+ Businesses

CTA

Sign Up",Eddon Hook 5
9,"Caption 1:
🚀 Imagine - bigger profits for your F&B or retail store this 2023. That's possible with StoreHub POS.

💪 Say goodbye to manual work and errors forever. Get full visibility of your sales, inventory, and employee attendance – even when you're far away from your store! 🌍

Don't miss out. Book a FREE demo of StoreHub now and take control of your success! 📈

Caption 2:
Mahirap na nga maging owner ng F&B business, so why make your life harder? :man_gesturing_no: Get StoreHub POS.

💪 Say goodbye to manual work and errors forever. Get full visibility of your sales, inventory, and employee attendance – even when you're far away from your store! 🌍

Imagine how much more profit you could get this 2023 from just reducing inefficiency. 📈

Don't wait. Book a FREE demo of StoreHub now and take control of your success!

Caption 3:
Are you about to open a restaurant :pizza:, cafe :coffee: or retail store :womans_clothes:? Make sure you're set up for success with StoreHub POS.

💪 Say goodbye to manual work and errors forever. Get full visibility of your sales, inventory, and employee attendance – even when you're far away from your store! 🌍

Don't make your life harder than it has to be. Book a FREE demo of StoreHub now and take control of your success!

Caption 4:
Do you own an F&B or retail store? Here's how you can get full visibility of your sales, inventory, and employee attendance – from anywhere! 🌍

Use StoreHub POS.

Less time wasted for you and your staff, and more time for the important things at your business.

Don't miss out. Book a FREE demo of StoreHub now and take control of your success! 📈",Demand Gen Comparison v2
10,"English 

The Preferred Choice of Metro Manila's restaurants & cafe, StoreHub POS System.

Taglish

Ang #1 choice ng lahat ng Metro Manila's restaurants & cafe, StoreHub POS System.",360 animation video
11,"Caption 1: StoreHub POS can power your F&B and retail business for just 63pesos/day. The Ultimate POS System, Simplified

Caption 2: Meron ka bang F&B and retail business? Use StoreHub POS, the system built just for YOU. 

Caption 3: Bakit ka pa bibili ng ibang POS brand when StoreHub has it all? 🤔💰

Hindi lang siya POS. Pati sales, inventory, and marketing meron din. Parang secret weapon na ng business mo! 🔑💼

Sign up for a demo of StoreHub today and start leveling up your business! 👨‍💼📈

Caption 4: Say goodbye to frustration and say hello to MORE SALES.

With StoreHub POS system and Back Office, lahat magagawa mo na. Sales, inventory, analytics, marketing - all in one place.

Sign up for a free demo of StoreHub today!",Built for video ads
12,"
Caption 1: 
Grabe ang traffic pag rainy season. 🤦‍♀️ It would be nice if you could just manage your business from anywhere, right? 👀

Access all your sales, employee shifts, and inventory, just from your phone or laptop with the StoreHub POS System. 🤩

Hindi mo na kailangan mastuck sa traffic just to check your stores. And may time ka na to focus on more important things for your business. 💰💰

Book a StoreHub demo today!

Caption 2:
We can’t make traffic go away, but we can help you manage your business from anywhere. 👀

Access all your sales and inventory data, employee shifts, and more, just from your phone or laptop with the StoreHub POS System. ✨

You can spend more time growing your business 💰 and not stuck on the road! 😎

Book a StoreHub demo today!

Caption 3: 
What if you can spend less time sitting in traffic  😪, and more time making strategic decisions for your business? 👀

You can do that with the StoreHub POS. Sales and inventory data, employee shifts, and more, are all accessible on at your fingers, on any device. 🤩

Manage your business from anywhere, and make every second of the day count! 💪

Book a StoreHub demo today!",Multi-store management (Eddon)
